"Timestamp","interaction source","interaction type","research need","successful interaction?","outcome","Number of people (if more than 1)","affiliation","Institutional affiliation if not UCB","Number of films/documents/items provided","interaction staff time","Date if not today"
"1/6/2020 10:18:38","walk in","Plex","Agnes Varda films",,,2,"Local Resident","UCB alumni",3,"10-30 min","1/3/2020"
"1/6/2020 10:19:07","email","Screening reservation request","interested in theresa cha videos",,"stephanie referred her to us",,"Non-UCB academic","illinois state university",,"less than 5 min","1/3/2020"
"1/6/2020 10:20:35","walk in","Reference research","Mexican border films - scholarly articles",,,,"UCB Faculty","Retired faculty",,"10-30 min","1/2/2020"
"1/6/2020 10:20:36","email","Screening reservation request","theresa cha videos",,"stephanie referred her to us",,"Non-UCB academic","rutgers university",,"less than 5 min","1/3/2020"
"1/6/2020 10:21:28","walk in","Plex","Fellini films and research",,,,"Filmmaker/Artist","Visiting filmmaker from Italy",5,"10-30 min","1/3/2020"
"1/6/2020 10:21:47","walk in","Curious/browsing",,,,3,"Out-of-area visitors",,,"5-10 min","1/2/2020"
"1/6/2020 10:22:07","walk in","Curious/browsing",,,,3,"Out-of-area visitors",,,"5-10 min","1/3/2020"
"1/6/2020 10:22:26","email","Cinefiles/PDF Requests"," Doc ID: 18504;  Doc ID: 18524;  Doc ID: 40398",,,,"Company / Archive / Museum / Etc","British Film Institute",3,"less than 5 min","1/5/2020"
"1/6/2020 10:22:37","walk in","Curious/browsing","Star Wars books and pamphlets",,,2,"Out-of-area visitors",,,"5-10 min","1/3/2020"
"1/6/2020 10:22:57","email","Cinefiles/PDF Requests"," Doc ID: 15741",,,,,,,"less than 5 min","1/5/2020"
"1/6/2020 10:23:22","walk in","Curious/browsing","Pixar and Ghibli animation books",,,,"Local Resident",,,"5-10 min","1/3/2020"
"1/6/2020 10:24:53","email","Reference research","Availability/digitization/rights of Black Woman - part of Black Journal - 16mm print","Yes",,,,"Independent filmmaker,MacroFilm",,"over 30 min","1/2/2020"
"1/6/2020 10:25:28","email","Audio Recording","David Lynch archival recordings for upcoming series",,,2,"BAMPFA staff",,2,"10-30 min","1/3/2020"
"1/6/2020 10:25:59","email","Cinefiles/PDF Requests"," Doc ID: 22525","Maybe",,,,,,"less than 5 min","12/31/2019"
"1/6/2020 10:26:50","email","Cinefiles/PDF Requests"," Doc ID: 52548","No","they didn't include an email address",,,,,"less than 5 min","12/30/2019"
"1/6/2020 10:27:22","email","Cinefiles/PDF Requests"," Doc ID: 15852",,,,,,,"less than 5 min","12/29/2019"
"1/6/2020 10:29:44","phone call","General info (hours/location/etc)","info on Fellini series",,,,"Local Resident",,,"less than 5 min","1/2/2020"
"1/6/2020 10:30:32","walk in","Books/periodicals","general books on French New Wave",,,,"Non-UCB student","NYU Tisch",7,"5-10 min",
"1/6/2020 10:31:19","walk in","Reference research","Godard's visits to Berkeley",,,,"Filmmaker/Artist","Visiting indepedent artist from France",,"10-30 min",
"1/6/2020 10:34:20","walk in","Plex","Oakland-set docs",,,,"Local Resident",,3,"5-10 min","1/3/2020"
"1/6/2020 10:38:55","email","other","wants to license image from BAM collection; Richard Jackson; also install shot from 1975 exhibition",,"referred to tracy and stephanie",,"Company / Archive / Museum / Etc","hauser wirth gallery",,"5-10 min",
"1/6/2020 12:59:12","email","other","wants to license BAM artwork; Helen Frankenthaler’s Before the Caves",,"referred him to tracy",,"Non-UCB academic","Stanford university",,"5-10 min",
"1/7/2020 12:13:12","email","Cinefiles/PDF Requests"," Doc ID: 15360",,,,,,,"less than 5 min",
"1/8/2020 10:32:54","email","Reference research","wants to access L'AN 01 by Resnais",,"showed him worldcat, plus a streaming version",,"Company / Archive / Museum / Etc","ztangi press",,"10-30 min",
"1/8/2020 15:17:07","email","Reference research","Inquiry on FIAF database access",,,,"Writer/Independent Scholar",,,"5-10 min",
"1/8/2020 15:17:35","email","Reference research","Availability of Jacques Doillon's Year 1 film",,,,"Writer/Independent Scholar",,,"10-30 min",
"1/8/2020 15:18:05","walk in","Reference research","Time lapse photography in film",,,,"Filmmaker/Artist","Independent composer",,"10-30 min",
"1/8/2020 15:18:21","walk in","Curious/browsing",,,,,"Local Resident",,,"less than 5 min",
"1/8/2020 15:18:47","walk in","Reference research","Sidney Peterson and Bay Area avant garde filmmaking",,,,"Non-UCB academic","SFSU",,"10-30 min",
"1/8/2020 15:19:06","walk in","Reference research","Mexican cinema",,,,"UCB Faculty",,,"5-10 min",
"1/8/2020 15:36:08","phone call","Reference research","Looking for u-matic machines in Bay Area to borrow",,,,"Filmmaker/Artist",,,"5-10 min",
"1/9/2020 11:44:21","email","Reference research","Availability of NCET's Visit to the Center",,,,"Writer/Independent Scholar","Blank Forms, NYC-based art exhibition venue",,"over 30 min",
"1/9/2020 13:33:29","email","Reference research","Query on availability of screeners or clippings files for various Mexican films",,,,"UCB Faculty",,12,"over 30 min",
"1/9/2020 13:34:09","email","Reference research","Query on clippings files on various Ukrainian films/artists",,,,"Company / Archive / Museum / Etc","Dozvhenko Film Archive, Ukraine",9,"over 30 min",
"1/9/2020 13:35:45","walk in","Curious/browsing","long intro to library",,,2,"Local Resident",,,"10-30 min",
"1/9/2020 13:41:09","email","Audio Recording","Giulietta Masina 1984 recording - how to get online",,,3,"BAMPFA staff",,,"over 30 min",
"1/9/2020 14:58:26","walk in","Curious/browsing",,,,3,"Out-of-area visitors","Visitors from Scotland",,"10-30 min",
"1/9/2020 15:55:57","phone call","Reference research","Looking for uncropped version of Les Amants de Teruel","Maybe","referred him to worldcat; gave him number for stanford media library",,"Local Resident",,,"10-30 min",
"1/10/2020 12:40:58","walk in","Reference research","experimental animation",,"possibly interested in screening films",,"Filmmaker/Artist",,,"10-30 min","1/9/2020"
"1/10/2020 12:42:06","walk in","Archival papers","artkino collection",,"scanned pages of artkino papers",,"Company / Archive / Museum / Etc","Dozvhenko Film Archive, Ukraine",,"10-30 min","1/9/2020"
